x y
1652.126 1069.450
1743.580 1069.765
1742.008 1155.875
1649.298 1141.419
1652.126 1069.450
nan nan
1649.298 1141.419
1742.008 1155.875
1734.563 1239.144
1639.024 1211.488
1649.298 1141.419
nan nan
1639.024 1211.488
1734.563 1239.144
1721.677 1323.369
1623.939 1281.885
1639.024 1211.488
nan nan
1676.883 1391.101
1700.453 1405.872
1673.740 1486.011
1650.798 1469.355
1676.883 1391.101
nan nan
1623.939 1281.885
1721.677 1323.369
1700.453 1405.872
1676.883 1391.101
1683.482 1359.988
1643.570 1358.731
1639.484 1370.673
1604.600 1349.617
1623.939 1281.885
nan nan
1650.798 1469.355
1673.740 1486.011
1638.417 1562.778
1617.990 1544.236
1650.798 1469.355
nan nan
1617.990 1544.236
1638.417 1562.778
1598.190 1637.261
1580.591 1617.776
1617.990 1544.236
nan nan
1604.600 1349.617
1639.484 1370.673
1611.828 1441.070
1579.458 1417.500
1604.600 1349.617
nan nan
1579.458 1417.500
1611.828 1441.070
1578.077 1507.781
1547.278 1481.068
1579.458 1417.500
nan nan
1580.591 1617.776
1598.190 1637.261
1552.935 1707.658
1537.222 1687.230
1580.591 1617.776
nan nan
1547.278 1481.068
1578.077 1507.781
1539.107 1572.835
1511.451 1542.979
1547.278 1481.068
nan nan
1537.222 1687.230
1552.935 1707.658
1499.885 1776.097
1486.999 1754.098
1537.222 1687.230
nan nan
1511.451 1542.979
1539.107 1572.835
1495.109 1634.118
1470.910 1601.748
1511.451 1542.979
nan nan
1486.999 1754.098
1499.885 1776.097
1442.687 1836.752
1431.059 1814.438
1486.999 1754.098
nan nan
1470.910 1601.748
1495.109 1634.118
1446.772 1689.044
1425.402 1656.359
1470.910 1601.748
nan nan
1425.402 1656.359
1446.772 1689.044
1394.603 1741.841
1375.118 1706.014
1425.402 1656.359
nan nan
1431.059 1814.438
1442.687 1836.752
1379.832 1893.006
1371.033 1870.065
1431.059 1814.438
nan nan
1375.118 1706.014
1394.603 1741.841
1337.406 1791.182
1322.006 1752.212
1375.118 1706.014
nan nan
1371.033 1870.065
1379.832 1893.006
1312.270 1945.044
1305.013 1922.909
1371.033 1870.065
nan nan
1322.006 1752.212
1337.406 1791.182
1277.798 1834.008
1265.098 1795.908
1322.006 1752.212
nan nan
1305.013 1922.909
1312.270 1945.044
1241.875 1987.861
1237.158 1965.364
1305.013 1922.909
nan nan
1265.098 1795.908
1277.798 1834.008
1215.023 1870.294
1205.952 1832.194
1265.098 1795.908
nan nan
1237.158 1965.364
1241.875 1987.861
1171.843 2027.050
1168.940 2006.004
1237.158 1965.364
nan nan
1205.952 1832.194
1215.023 1870.294
1154.426 1904.040
1149.708 1866.666
1205.952 1832.194
nan nan
1171.843 2027.050
1152.248 2036.847
1152.974 2065.151
1094.191 2064.788
1094.191 2036.122
1104.714 2035.759
1168.940 2006.004
1171.843 2027.050
nan nan
1154.426 1904.040
1104.714 1924.361
1104.351 1928.715
1086.571 1928.715
1083.305 1888.800
1097.819 1888.800
1149.708 1866.666
1154.426 1904.040
nan nan
1094.191 2064.788
1015.813 2064.425
1015.813 2028.502
1028.150 2028.864
1027.424 2036.847
1048.470 2037.573
1051.010 2045.919
1057.179 2049.185
1068.790 2049.548
1075.322 2043.742
1076.773 2035.759
1094.191 2036.122
1094.191 2064.788
nan nan
1086.571 1928.715
1030.327 1928.715
1029.239 1966.452
1015.450 1966.452
1015.813 1918.192
1022.707 1917.829
1029.239 1909.120
1044.116 1907.669
1053.187 1899.323
1070.242 1898.597
1083.305 1888.800
1086.571 1928.715
nan nan
698.035 1885.692
710.025 1895.518
722.320 1895.518
728.617 1902.415
746.311 1902.415
746.311 1909.612
761.305 1913.811
761.005 1965.391
746.610 1964.491
746.910 1923.707
716.322 1923.407
690.778 1923.066
693.531 1909.012
698.035 1885.692
nan nan
682.135 2033.765
698.629 2033.165
701.328 2041.562
706.726 2045.760
718.421 2045.160
722.920 2041.262
724.719 2032.265
746.910 2032.565
746.011 2024.468
761.305 2024.768
760.705 2062.254
678.914 2060.801
682.135 2033.765
nan nan
627.361 1864.350
677.715 1884.966
682.432 1881.337
693.681 1881.700
698.035 1885.692
690.778 1923.066
669.369 1923.066
669.369 1917.261
621.566 1898.640
627.361 1864.350
nan nan
605.145 2001.996
669.738 2031.823
681.812 2031.823
678.914 2060.801
622.407 2060.318
622.407 2032.789
601.281 2024.695
605.145 2001.996
nan nan
565.541 1830.542
627.361 1864.350
621.566 1898.640
556.365 1865.799
565.541 1830.542
nan nan
533.182 1961.909
605.145 2001.996
601.281 2024.695
526.904 1984.609
533.182 1961.909
nan nan
506.706 1792.416
565.541 1830.542
556.365 1865.799
493.849 1826.311
506.706 1792.416
nan nan
463.635 1915.061
533.182 1961.909
526.904 1984.609
456.391 1937.278
463.635 1915.061
nan nan
450.394 1747.564
506.706 1792.416
493.849 1826.311
435.200 1783.212
450.394 1747.564
nan nan
399.762 1861.959
463.635 1915.061
456.391 1937.278
390.412 1884.166
399.762 1861.959
nan nan
397.215 1700.229
450.394 1747.564
435.200 1783.212
379.099 1734.708
397.215 1700.229
nan nan
340.529 1804.835
399.762 1861.959
390.412 1884.166
327.088 1828.795
340.529 1804.835
nan nan
346.957 1650.555
397.215 1700.229
379.099 1734.708
328.257 1680.944
346.957 1650.555
nan nan
303.128 1592.701
346.957 1650.555
328.257 1680.944
279.168 1623.673
303.128 1592.701
nan nan
286.181 1742.889
340.529 1804.835
327.088 1828.795
271.571 1766.265
286.181 1742.889
nan nan
263.526 1536.356
303.128 1592.701
279.168 1623.673
237.185 1563.723
263.526 1536.356
nan nan
237.676 1676.853
286.181 1742.889
271.571 1766.265
219.560 1699.060
237.676 1676.853
nan nan
226.252 1472.401
263.526 1536.356
237.185 1563.723
197.859 1498.058
226.252 1472.401
nan nan
193.262 1608.479
237.676 1676.853
219.560 1699.060
174.562 1627.764
193.262 1608.479
nan nan
197.890 1408.685
226.252 1472.401
197.859 1498.058
165.563 1431.451
197.890 1408.685
nan nan
173.303 1341.754
197.890 1408.685
165.563 1431.451
137.333 1361.332
173.303 1341.754
nan nan
158.164 1533.962
193.262 1608.479
174.562 1627.764
133.876 1553.803
158.164 1533.962
nan nan
126.021 1457.692
158.164 1533.962
133.876 1553.803
101.049 1475.138
126.021 1457.692
nan nan
154.180 1273.457
173.303 1341.754
137.333 1361.332
134.601 1346.307
93.623 1346.307
100.453 1380.911
74.045 1394.115
55.377 1313.980
154.180 1273.457
nan nan
100.453 1380.911
126.021 1457.692
101.049 1475.138
74.045 1394.115
100.453 1380.911
nan nan
139.010 1203.182
154.180 1273.457
55.377 1313.980
42.483 1229.590
139.010 1203.182
nan nan
42.483 1229.590
35.719 1144.110
130.975 1133.006
139.010 1203.182
42.483 1229.590
nan nan
35.719 1144.110
34.550 1061.126
129.221 1061.710
130.975 1133.006
35.719 1144.110
nan nan
