x y
1700.995 1985.498
1698.110 1972.739
1692.443 1949.771
1681.023 1907.765
1675.515 1889.720
1664.083 1853.580
1645.465 1801.665
1609.111 1704.423
1609.059 1704.291
1579.286 1632.279
1567.433 1605.343
1544.217 1554.993
1519.538 1505.108
1504.399 1476.089
1465.311 1406.847
1459.814 1397.664
1410.454 1322.144
1406.495 1316.649
1357.422 1253.402
1342.436 1236.285
1300.900 1192.893
1274.362 1169.003
1241.260 1142.218
1205.561 1118.242
1181.696 1104.217
1131.962 1081.133
1118.335 1076.630
1052.638 1063.709
1048.710 1063.332
730.369 1069.386
724.306 1070.168
660.469 1085.367
642.206 1092.163
592.306 1117.391
566.299 1133.776
530.443 1159.750
494.985 1189.971
471.139 1212.577
427.213 1260.037
415.287 1274.060
363.575 1341.969
363.113 1342.623
313.796 1418.990
306.237 1431.711
270.636 1495.539
253.359 1528.835
231.045 1574.363
206.371 1628.193
196.563 1650.688
168.214 1719.603
164.302 1729.687
129.745 1822.856
113.051 1869.990
100.275 1910.758
96.496 1923.283
85.546 1964.017
81.423 1980.943
78.374 1994.592
