x y
1698.110 1109.354
1692.443 1187.550
1681.023 1264.722
1675.515 1438.116
1664.083 1337.335
1645.465 1515.295
1609.111 1590.069
1609.059 1394.592
1579.286 1461.958
1567.433 1662.268
1544.217 1526.163
1519.538 1731.040
1504.399 1587.900
1465.311 1795.228
1459.814 1645.184
1410.454 1698.544
1406.495 1853.349
1357.422 1748.006
1342.436 1907.478
1300.900 1793.219
1274.362 1955.191
1241.260 1833.116
1205.561 1996.260
1181.696 1868.281
1131.962 2041.486
1118.335 1899.263
1052.638 2050.995
1048.710 1922.713
730.369 1919.984
724.306 2047.332
660.469 1895.043
642.206 2036.974
592.306 1864.766
566.299 1993.184
530.443 1828.852
494.985 1949.715
471.139 1787.153
427.213 1899.401
415.287 1741.447
363.575 1844.238
363.113 1692.001
313.796 1636.515
306.237 1785.631
270.636 1579.276
253.359 1720.917
231.045 1517.584
206.371 1653.327
196.563 1452.447
168.214 1385.593
164.302 1579.916
129.745 1505.256
113.051 1327.924
100.275 1427.028
96.496 1255.805
85.546 1177.950
81.423 1100.109
