x y
1700.995 1072.426
1698.110 1085.185
1692.443 1108.153
1681.023 1150.160
1675.515 1168.204
1664.083 1204.344
1645.465 1256.259
1609.111 1353.501
1609.059 1353.633
1579.286 1425.645
1567.433 1452.581
1544.217 1502.932
1519.538 1552.816
1504.399 1581.835
1465.311 1651.077
1459.814 1660.260
1410.454 1735.780
1406.495 1741.275
1357.422 1804.522
1342.436 1821.639
1300.900 1865.031
1274.362 1888.921
1241.260 1915.707
1205.561 1939.682
1181.696 1953.707
1131.962 1976.791
1118.335 1981.294
1052.638 1994.215
1048.710 1994.592
730.369 1988.538
724.306 1987.756
660.469 1972.558
642.206 1965.761
592.306 1940.533
566.299 1924.149
530.443 1898.174
494.985 1867.954
471.139 1845.348
427.213 1797.887
415.287 1783.864
363.575 1715.956
363.113 1715.301
313.796 1638.934
306.237 1626.213
270.636 1562.385
253.359 1529.089
231.045 1483.561
206.371 1429.731
196.563 1407.236
168.214 1338.321
164.302 1328.237
129.745 1235.068
113.051 1187.934
100.275 1147.166
96.496 1134.642
85.546 1093.907
81.423 1076.981
78.374 1063.332
