x y
197500000.000 -873452294.557
0 0.000
nan nan
197500000.000 -873452294.557
0 -72943562.633
nan nan
197500000.000 -873452294.557
0 -146973520.614
nan nan
197500000.000 -873452294.557
0 -226520661.384
nan nan
197500000.000 -873452294.557
0 -249087001.989
nan nan
197500000.000 -873452294.557
0 -322733029.305
nan nan
197500000.000 -873452294.557
0 -345170667.699
nan nan
197500000.000 -873452294.557
0 -366622419.921
nan nan
197500000.000 -873452294.557
0 -395762708.489
nan nan
197500000.000 -873452294.557
0 -424624621.957
nan nan
197500000.000 -873452294.557
0 -445114875.029
nan nan
197500000.000 -873452294.557
0 -474247262.217
nan nan
197500000.000 -873452294.557
0 -494875127.772
nan nan
197500000.000 -873452294.557
0 -523589729.505
nan nan
197500000.000 -873452294.557
0 -543538244.227
nan nan
197500000.000 -873452294.557
0 -571279569.974
nan nan
197500000.000 -873452294.557
0 -599291936.581
nan nan
197500000.000 -873452294.557
0 -618908099.516
nan nan
197500000.000 -873452294.557
0 -647867150.186
nan nan
197500000.000 -873452294.557
0 -667130852.734
nan nan
197500000.000 -873452294.557
0 -695658551.123
nan nan
197500000.000 -873452294.557
0 -713637164.558
nan nan
197500000.000 -873452294.557
0 -740813449.393
nan nan
197500000.000 -873452294.557
0 -757383873.068
nan nan
197500000.000 -873452294.557
0 -781781962.119
nan nan
197500000.000 -873452294.557
0 -808189963.902
nan nan
197500000.000 -873452294.557
0 -834607840.789
nan nan
197500000.000 -873452294.557
0 -854504199.323
nan nan
197500000.000 -873452294.557
0 -877208378.953
nan nan
197500000.000 -873452294.557
0 -898921141.938
nan nan
197500000.000 -873452294.557
0 -920474216.442
nan nan
197500000.000 -873452294.557
0 -946947624.937
nan nan
197500000.000 -873452294.557
0 -973302064.063
nan nan
197500000.000 -873452294.557
0 -997881623.332
nan nan
197500000.000 -873452294.557
0 -1016523600.810
nan nan
197500000.000 -873452294.557
0 -1041777634.017
nan nan
197500000.000 -873452294.557
0 -1060689024.458
nan nan
197500000.000 -873452294.557
0 -1086843397.607
nan nan
197500000.000 -873452294.557
0 -1105670958.062
nan nan
197500000.000 -873452294.557
0 -1132810996.436
nan nan
197500000.000 -873452294.557
0 -1153366050.450
nan nan
197500000.000 -873452294.557
0 -1179281764.707
nan nan
197500000.000 -873452294.557
0 -1205813909.935
nan nan
197500000.000 -873452294.557
0 -1227544382.337
nan nan
197500000.000 -873452294.557
0 -1254067665.415
nan nan
197500000.000 -873452294.557
0 -1276423106.612
nan nan
197500000.000 -873452294.557
0 -1304313561.254
nan nan
197500000.000 -873452294.557
0 -1326443603.869
nan nan
197500000.000 -873452294.557
0 -1353569609.407
nan nan
197500000.000 -873452294.557
0 -1382561098.071
nan nan
197500000.000 -873452294.557
0 -1405931222.997
nan nan
197500000.000 -873452294.557
0 -1431067850.764
nan nan
197500000.000 -873452294.557
0 -1503662148.633
nan nan
197500000.000 -873452294.557
0 -1527960571.012
nan nan
197500000.000 -873452294.557
0 -1608183192.911
nan nan
197500000.000 -873452294.557
0 -1684201203.854
nan nan
197500000.000 -873452294.557
0 -1757532583.492
nan nan
