tri Hmin Hmax
0.1200 0.2000 0.2000
0.1400 0.1900 0.2150
0.1600 0.1800 0.2250
0.1800 0.1800 0.2350
0.2000 0.1700 0.2450
0.2200 0.1650 0.2550
0.2400 0.1550 0.2600
0.2600 0.1550 0.2650
0.2800 0.1450 0.2650
0.3000 0.1450 0.2800
0.3200 0.1350 0.2800
0.3400 0.1350 0.2950
0.3600 0.1300 0.3000
0.3800 0.1300 0.3050
0.4000 0.1200 0.3150
0.4200 0.1200 0.3200
0.4400 0.1150 0.3250
0.4600 0.1150 0.3350
0.4800 0.1100 0.3400
0.5000 0.1100 0.3450
0.5200 0.1050 0.3500
0.5400 0.1050 0.3600
0.5600 0.1050 0.3650
0.5800 0.1000 0.3700
0.6000 0.1000 0.3650
