x y
-1.002764 0.022921
-1.177605 -0.019865
-1.210288 0.209133
-1.030461 0.216988
-1.002764 0.022921
nan nan
-1.030461 0.216988
-1.210288 0.209133
-1.197680 0.440107
-1.019777 0.412728
-1.030461 0.216988
nan nan
-1.019777 0.412728
-1.197680 0.440107
-1.140267 0.664187
-0.971121 0.602627
-1.019777 0.412728
nan nan
-0.971249 0.602483
-1.104439 0.723562
-0.932805 0.878644
-0.825796 0.733908
-0.971249 0.602483
nan nan
-0.825796 0.733908
-0.932805 0.878644
-0.734217 0.997265
-0.657502 0.834434
-0.825796 0.733908
nan nan
-0.657502 0.834434
-0.734217 0.997265
-0.516308 1.074876
-0.472833 0.900206
-0.657502 0.834434
nan nan
-0.472833 0.900206
-0.516308 1.074876
-0.287442 1.108473
-0.278879 0.928678
-0.472833 0.900206
nan nan
-0.278879 0.928678
-0.287442 1.108473
-0.056420 1.096771
-0.083098 0.918761
-0.278879 0.928678
nan nan
-0.038955 0.917559
-0.056332 1.096716
0.174986 1.096378
0.157076 0.917273
-0.038955 0.917559
nan nan
0.157076 0.917273
0.174986 1.096378
0.401793 1.050915
0.349286 0.878745
0.157076 0.917273
nan nan
0.349286 0.878745
0.401793 1.050915
0.615368 0.962067
0.530281 0.803450
0.349286 0.878745
nan nan
0.530281 0.803450
0.615368 0.962067
0.807512 0.833271
0.693115 0.694301
0.530281 0.803450
nan nan
0.693115 0.694301
0.807512 0.833271
0.970841 0.669466
0.831530 0.555483
0.693115 0.694301
nan nan
0.831467 0.555568
0.981131 0.655571
1.090164 0.451561
0.923868 0.382678
0.831467 0.555568
nan nan
0.923868 0.382678
1.090164 0.451561
1.157313 0.230204
0.980774 0.195088
0.923868 0.382678
nan nan
0.980774 0.195088
1.157313 0.230204
1.180000 0.000000
1.000000 0.000000
0.980774 0.195088
nan nan
