x y
-1.000000 0.000000
-1.180000 0.000000
-1.157313 0.230204
-0.980774 0.195088
-1.000000 0.000000
nan nan
-0.980774 0.195088
-1.157313 0.230204
-1.090164 0.451561
-0.923868 0.382678
-0.980774 0.195088
nan nan
-0.923868 0.382678
-1.090164 0.451561
-0.981131 0.655571
-0.831467 0.555568
-0.923868 0.382678
nan nan
-0.831467 0.555568
-0.981131 0.655571
-0.834377 0.834377
-0.707099 0.707099
-0.831467 0.555568
nan nan
-0.707099 0.707099
-0.834377 0.834377
-0.655564 0.981121
-0.555563 0.831458
-0.707099 0.707099
nan nan
-0.555563 0.831458
-0.655564 0.981121
-0.451564 1.090171
-0.382681 0.923874
-0.555563 0.831458
nan nan
-0.382681 0.923874
-0.451564 1.090171
-0.230205 1.157317
-0.195089 0.980777
-0.382681 0.923874
nan nan
-0.195089 0.980777
-0.230205 1.157317
0.000000 1.179984
-0.000000 0.999986
-0.195089 0.980777
nan nan
-0.000000 0.999986
0.000000 1.179984
0.230205 1.157317
0.195089 0.980777
-0.000000 0.999986
nan nan
0.195089 0.980777
0.230205 1.157317
0.451564 1.090171
0.382681 0.923874
0.195089 0.980777
nan nan
0.382681 0.923874
0.451564 1.090171
0.655564 0.981121
0.555563 0.831458
0.382681 0.923874
nan nan
0.555563 0.831458
0.655564 0.981121
0.834377 0.834377
0.707099 0.707099
0.555563 0.831458
nan nan
0.707099 0.707099
0.834377 0.834377
0.981131 0.655571
0.831467 0.555568
0.707099 0.707099
nan nan
0.831467 0.555568
0.981131 0.655571
1.090164 0.451561
0.923868 0.382678
0.831467 0.555568
nan nan
0.923868 0.382678
1.090164 0.451561
1.157313 0.230204
0.980774 0.195088
0.923868 0.382678
nan nan
0.980774 0.195088
1.157313 0.230204
1.180000 0.000000
1.000000 0.000000
0.980774 0.195088
nan nan
