x y
-1.150000 0.000000
-1.149857 0.018154
-1.149427 0.036304
-1.148710 0.054444
-1.147708 0.072571
-1.146419 0.090680
-1.144845 0.108767
-1.142985 0.126826
-1.140841 0.144854
-1.138412 0.162845
-1.135699 0.180796
-1.132704 0.198702
-1.129426 0.216558
-1.125866 0.234361
-1.122026 0.252105
-1.117907 0.269786
-1.113509 0.287400
-1.108833 0.304942
-1.103881 0.322409
-1.098654 0.339794
-1.093153 0.357096
-1.087379 0.374308
-1.081335 0.391427
-1.075021 0.408448
-1.068439 0.425368
-1.061591 0.442182
-1.054478 0.458885
-1.047103 0.475474
-1.039466 0.491945
-1.031571 0.508293
-1.023418 0.524514
-1.015011 0.540605
-1.006350 0.556560
-0.997439 0.572378
-0.988279 0.588052
-0.978872 0.603580
-0.969222 0.618957
-0.959330 0.634181
-0.949200 0.649246
-0.938832 0.664149
-0.928231 0.678887
-0.917398 0.693456
-0.906337 0.707852
-0.895049 0.722071
-0.883539 0.736111
-0.871808 0.749967
-0.859861 0.763636
-0.847699 0.777115
-0.835325 0.790400
-0.822744 0.803488
-0.809957 0.816376
-0.796969 0.829060
-0.783782 0.841538
-0.770399 0.853806
-0.756825 0.865862
-0.743062 0.877701
-0.729114 0.889322
-0.714984 0.900721
-0.700676 0.911896
-0.686193 0.922843
-0.671539 0.933560
-0.656718 0.944045
-0.641733 0.954295
-0.626589 0.964306
-0.611288 0.974078
-0.595835 0.983606
-0.580233 0.992890
-0.564487 1.001926
-0.548600 1.010712
-0.532576 1.019246
-0.516419 1.027527
-0.500134 1.035551
-0.483725 1.043317
-0.467194 1.050823
-0.450547 1.058068
-0.433788 1.065048
-0.416921 1.071763
-0.399950 1.078211
-0.382879 1.084391
-0.365713 1.090300
-0.348456 1.095937
-0.331112 1.101301
-0.313685 1.106391
-0.296180 1.111205
-0.278602 1.115742
-0.260954 1.120001
-0.243240 1.123981
-0.225467 1.127681
-0.207637 1.131100
-0.189755 1.134237
-0.171826 1.137091
-0.153854 1.139662
-0.135844 1.141949
-0.117800 1.143951
-0.099727 1.145668
-0.081628 1.147099
-0.063510 1.148245
-0.045376 1.149104
-0.027230 1.149678
-0.009077 1.149964
0.009077 1.149964
0.027230 1.149678
0.045376 1.149104
0.063510 1.148245
0.081628 1.147099
0.099727 1.145668
0.117800 1.143951
0.135844 1.141949
0.153854 1.139662
0.171826 1.137091
0.189755 1.134237
0.207637 1.131100
0.225467 1.127681
0.243240 1.123981
0.260954 1.120001
0.278602 1.115742
0.296180 1.111205
0.313685 1.106391
0.331112 1.101301
0.348456 1.095937
0.365713 1.090300
0.382879 1.084391
0.399950 1.078211
0.416921 1.071763
0.433788 1.065048
0.450547 1.058068
0.467194 1.050823
0.483725 1.043317
0.500134 1.035551
0.516419 1.027527
0.532576 1.019246
0.548600 1.010712
0.564487 1.001926
0.580233 0.992890
0.595835 0.983606
0.611288 0.974078
0.626589 0.964306
0.641733 0.954295
0.656718 0.944045
0.671539 0.933560
0.686193 0.922843
0.700676 0.911896
0.714984 0.900721
0.729114 0.889322
0.743062 0.877701
0.756825 0.865862
0.770399 0.853806
0.783782 0.841538
0.796969 0.829060
0.809957 0.816376
0.822744 0.803488
0.835325 0.790400
0.847699 0.777115
0.859861 0.763636
0.871808 0.749967
0.883539 0.736111
0.895049 0.722071
0.906337 0.707852
0.917398 0.693456
0.928231 0.678887
0.938832 0.664149
0.949200 0.649246
0.959330 0.634181
0.969222 0.618957
0.978872 0.603580
0.988279 0.588052
0.997439 0.572378
1.006350 0.556560
1.015011 0.540605
1.023418 0.524514
1.031571 0.508293
1.039466 0.491945
1.047103 0.475474
1.054478 0.458885
1.061591 0.442182
1.068439 0.425368
1.075021 0.408448
1.081335 0.391427
1.087379 0.374308
1.093153 0.357096
1.098654 0.339794
1.103881 0.322409
1.108833 0.304942
1.113509 0.287400
1.117907 0.269786
1.122026 0.252105
1.125866 0.234361
1.129426 0.216558
1.132704 0.198702
1.135699 0.180796
1.138412 0.162845
1.140841 0.144854
1.142985 0.126826
1.144845 0.108767
1.146419 0.090680
1.147708 0.072571
1.148710 0.054444
1.149427 0.036304
1.149857 0.018154
1.150000 0.000000
