x y
-1.000000 0.000000
-0.999875 0.015786
-0.999502 0.031569
-0.998879 0.047343
-0.998007 0.063106
-0.996886 0.078853
-0.995517 0.094580
-0.993900 0.110283
-0.992035 0.125960
-0.989923 0.141605
-0.987565 0.157214
-0.984960 0.172784
-0.982109 0.188312
-0.979014 0.203792
-0.975675 0.219222
-0.972093 0.234597
-0.968268 0.249913
-0.964202 0.265167
-0.959896 0.280355
-0.955351 0.295473
-0.950567 0.310518
-0.945547 0.325485
-0.940291 0.340371
-0.934801 0.355173
-0.929077 0.369885
-0.923123 0.384506
-0.916938 0.399031
-0.910524 0.413456
-0.903884 0.427778
-0.897018 0.441994
-0.889929 0.456099
-0.882618 0.470091
-0.875087 0.483966
-0.867338 0.497720
-0.859373 0.511350
-0.851193 0.524852
-0.842802 0.538224
-0.834200 0.551462
-0.825391 0.564562
-0.816376 0.577521
-0.807157 0.590337
-0.797737 0.603005
-0.788119 0.615523
-0.778304 0.627888
-0.768295 0.640096
-0.758094 0.652145
-0.747705 0.664031
-0.737129 0.675752
-0.726370 0.687304
-0.715429 0.698685
-0.704311 0.709892
-0.693016 0.720922
-0.681549 0.731772
-0.669912 0.742440
-0.658109 0.752923
-0.646141 0.763218
-0.634012 0.773323
-0.621725 0.783236
-0.609283 0.792953
-0.596689 0.802472
-0.583947 0.811792
-0.571059 0.820909
-0.558029 0.829821
-0.544860 0.838527
-0.531555 0.847024
-0.518117 0.855310
-0.504550 0.863382
-0.490858 0.871240
-0.477043 0.878880
-0.463109 0.886301
-0.449060 0.893501
-0.434899 0.900479
-0.420630 0.907232
-0.406256 0.913759
-0.391780 0.920059
-0.377207 0.926129
-0.362540 0.931968
-0.347783 0.937575
-0.332939 0.942948
-0.318012 0.948087
-0.303005 0.952989
-0.287923 0.957653
-0.272770 0.962079
-0.257548 0.966265
-0.242262 0.970211
-0.226916 0.973914
-0.211513 0.977375
-0.196058 0.980592
-0.180554 0.983565
-0.165004 0.986293
-0.149414 0.988775
-0.133786 0.991010
-0.118125 0.992999
-0.102435 0.994740
-0.086719 0.996233
-0.070981 0.997478
-0.055226 0.998474
-0.039457 0.999221
-0.023678 0.999720
-0.007893 0.999969
0.007893 0.999969
0.023678 0.999720
0.039457 0.999221
0.055226 0.998474
0.070981 0.997478
0.086719 0.996233
0.102435 0.994740
0.118125 0.992999
0.133786 0.991010
0.149414 0.988775
0.165004 0.986293
0.180554 0.983565
0.196058 0.980592
0.211513 0.977375
0.226916 0.973914
0.242262 0.970211
0.257548 0.966265
0.272770 0.962079
0.287923 0.957653
0.303005 0.952989
0.318012 0.948087
0.332939 0.942948
0.347783 0.937575
0.362540 0.931968
0.377207 0.926129
0.391780 0.920059
0.406256 0.913759
0.420630 0.907232
0.434899 0.900479
0.449060 0.893501
0.463109 0.886301
0.477043 0.878880
0.490858 0.871240
0.504550 0.863382
0.518117 0.855310
0.531555 0.847024
0.544860 0.838527
0.558029 0.829821
0.571059 0.820909
0.583947 0.811792
0.596689 0.802472
0.609283 0.792953
0.621725 0.783236
0.634012 0.773323
0.646141 0.763218
0.658109 0.752923
0.669912 0.742440
0.681549 0.731772
0.693016 0.720922
0.704311 0.709892
0.715429 0.698685
0.726370 0.687304
0.737129 0.675752
0.747705 0.664031
0.758094 0.652145
0.768295 0.640096
0.778304 0.627888
0.788119 0.615523
0.797737 0.603005
0.807157 0.590337
0.816376 0.577521
0.825391 0.564562
0.834200 0.551462
0.842802 0.538224
0.851193 0.524852
0.859373 0.511350
0.867338 0.497720
0.875087 0.483966
0.882618 0.470091
0.889929 0.456099
0.897018 0.441994
0.903884 0.427778
0.910524 0.413456
0.916938 0.399031
0.923123 0.384506
0.929077 0.369885
0.934801 0.355173
0.940291 0.340371
0.945547 0.325485
0.950567 0.310518
0.955351 0.295473
0.959896 0.280355
0.964202 0.265167
0.968268 0.249913
0.972093 0.234597
0.975675 0.219222
0.979014 0.203792
0.982109 0.188312
0.984960 0.172784
0.987565 0.157214
0.989923 0.141605
0.992035 0.125960
0.993900 0.110283
0.995517 0.094580
0.996886 0.078853
0.998007 0.063106
0.998879 0.047343
0.999502 0.031569
0.999875 0.015786
1.000000 0.000000
