x y
-1.000000 0.000000
-1.150000 0.000000
nan nan
-0.980774 0.195088
-1.127890 0.224351
nan nan
-0.923868 0.382678
-1.062448 0.440080
nan nan
-0.831467 0.555568
-0.956187 0.638904
nan nan
-0.707099 0.707099
-0.813164 0.813164
nan nan
-0.555563 0.831458
-0.638897 0.956177
nan nan
-0.382681 0.923874
-0.440083 1.062455
nan nan
-0.195089 0.980777
-0.224352 1.127894
nan nan
-0.000000 0.999986
0.000000 1.149984
nan nan
0.195089 0.980777
0.224352 1.127894
nan nan
0.382681 0.923874
0.440083 1.062455
nan nan
0.555563 0.831458
0.638897 0.956177
nan nan
0.707099 0.707099
0.813164 0.813164
nan nan
0.831467 0.555568
0.956187 0.638904
nan nan
0.923868 0.382678
1.062448 0.440080
nan nan
0.980774 0.195088
1.127890 0.224351
nan nan
1.000000 0.000000
1.150000 0.000000
nan nan
